"","stock","price_ma","price_window","sentiment_ma","sentiment_window","return_percent"
"309","Tesla","SMA",25,"SMA",25,680.664066787
"310","Tesla",NA,NA,"WMA",25,240.2904483168
"311","Tesla","WMA",25,NA,NA,503.3781065187
"312","Tesla","WMA",25,"WMA",25,395.6646206161
"313","Tesla",NA,NA,"EMA",25,308.5917932841
"314","Tesla","EMA",25,NA,NA,727.5033769129
"315","Tesla","EMA",25,"EMA",25,680.664066787
"316","Tesla",NA,NA,"SMA",30,319.2538606344
"317","Tesla","SMA",30,NA,NA,786.2752922207
"318","Tesla","SMA",30,"SMA",30,680.664066787
"319","Tesla",NA,NA,"WMA",30,249.1974887046
"320","Tesla","WMA",30,NA,NA,641.3322146545
"321","Tesla","WMA",30,"WMA",30,589.8473464291
"322","Tesla",NA,NA,"EMA",30,346.4734253056
"323","Tesla","EMA",30,NA,NA,758.9572766561
"324","Tesla","EMA",30,"EMA",30,680.664066787
"325","Tesla",NA,NA,"SMA",35,428.3816834604
"326","Tesla","SMA",35,NA,NA,710.0698833528
"327","Tesla","SMA",35,"SMA",35,680.664066787
"328","Tesla",NA,NA,"WMA",35,382.6251863841
"329","Tesla","WMA",35,NA,NA,782.2132551699
"330","Tesla","WMA",35,"WMA",35,680.664066787
"331","Tesla",NA,NA,"EMA",35,353.0643335784
"332","Tesla","EMA",35,NA,NA,759.1057365877
"333","Tesla","EMA",35,"EMA",35,680.664066787
"334","Tesla",NA,NA,"SMA",40,578.2329625661
"335","Tesla","SMA",40,NA,NA,314.2158644441
"336","Tesla","SMA",40,"SMA",40,324.6308549853
"337","Tesla",NA,NA,"WMA",40,382.0170524268
"338","Tesla","WMA",40,NA,NA,799.1451215435
"339","Tesla","WMA",40,"WMA",40,694.5313809736
"340","Tesla",NA,NA,"EMA",40,382.0170524268
"341","Tesla","EMA",40,NA,NA,796.8335094828
"342","Tesla","EMA",40,"EMA",40,694.5313809736
"343","Tesla",NA,NA,"SMA",45,612.3628174991
"344","Tesla","SMA",45,NA,NA,688.6149274158
"345","Tesla","SMA",45,"SMA",45,816.165257833
"346","Tesla",NA,NA,"WMA",45,358.1093873398
"347","Tesla","WMA",45,NA,NA,829.2610915406
"348","Tesla","WMA",45,"WMA",45,694.5313809736
"349","Tesla",NA,NA,"EMA",45,447.5843069691
"350","Tesla","EMA",45,NA,NA,833.5577788357
"351","Tesla","EMA",45,"EMA",45,816.165257833
"352","Tesla",NA,NA,"SMA",50,648.6477580072
"353","Tesla","SMA",50,NA,NA,284.4747836603
"354","Tesla","SMA",50,"SMA",50,298.0545903767
"355","Tesla",NA,NA,"WMA",50,374.22714757
"356","Tesla","WMA",50,NA,NA,281.4937703615
"357","Tesla","WMA",50,"WMA",50,253.6353535509
"358","Tesla",NA,NA,"EMA",50,424.2369496186
"359","Tesla","EMA",50,NA,NA,355.6855819158
"360","Tesla","EMA",50,"EMA",50,355.6855819158
